GDP per capita, PPP (constant 2017 international $)	Population (historical estimates)	Homicide rate per 100,000 population - Both sexes - All ages	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score
1961.0963	29249156	4.208668	61.4	4.25835
2122.8308	30466484	6.393913	61.9	
2108.714	33753500	9.975262	62.7	3.36
2101.422	34636212	6.6924186	63.1	3.794
2096.093	35643420	6.8006945	63	3.6315
2060.699	36686788	6.7435727	63.1	3.2033
2079.9219	37769496	7.180397	63.6	2.5669
1968.341	38972236	6.594439	62.6	2.5229
1516.3057	40099460	4.0224977	62	2.4038
57815.17	8575210	0.59473795	78.5	6.977243
59949.246	8664976	0.79630977	78.7	
62354.824	8751853	0.6512911	78.9	
64334.09	8835957	0.69036144	79	6.901
68076.63	8916909	0.67287964	79.2	6.573
71782.16	9211660	0.6947718	79.7	6.7908
67668.29	9287286	0.6998813	78.9	6.5605
69733.8	9365149	0.46982723	78.7	6.576
34468.887	377956	33.60233	72.6	
35150.562	382073	28.791214	72.8	
33826.34	385660	30.856995	73	
34143.03	389137	31.35191	73.4	
34170.23	392707	37.178745	73.1	
33596.637	395986	28.031967	73.5	
34357.27	399027	30.57491	73.6	
34735.125	401911	22.642082	73.8	
35161.832	404563	23.482475	71.2	
26659.238	406478	17.959438	72.7	
30210.162	407920	29.173424	71.6	
37745.453	3206883	1.0602238	76.6	
37270.586	3535585	1.1030726	77.1	
36330.48	3816688	2.5414758	77.2	
35032.258	4009272	0.29930654	77.4	6.853
35188.023	4191784	0.38169974	77.7	
35229.953	4398080	0.36379594	77.9	
34218.387	4541853	0.3742965	77.9	
34212.105	4601160	0.28253767	78	
33814.113	4602769	0.49969932	78	
33098.21	4543406	0.30813938	74.8	
34294.766	4520474	0.24333748	72.5	
